d_nem,nem,sigma
20.580905259299982,38.66776617188932,0.01
24.387037037037036,36.71666666666667,0.019999999999999997
25.188610808850203,34.52121871599565,0.03
26.515641855447686,32.110751528227254,0.039999999999999994
26.9621170926228,30.21388435744064,0.049999999999999996
25.89203179885376,27.918284340913296,0.05999999999999999
24.821953010279003,26.279368575624083,0.06999999999999999
23.588912886969045,24.593232541396688,0.07999999999999999
22.338494394020287,23.100195764370884,0.08999999999999998
20.57947900053163,21.72426014531278,0.09999999999999998
18.42301545018647,20.45462617652282,0.10999999999999997
15.735455543358947,19.37248444932309,0.11999999999999998
12.861403508771929,18.724561403508773,0.12999999999999998
8.96074307746232,18.05292674377848,0.13999999999999999
5.865045806906273,18.377378435517972,0.15
2.0899616017553484,19.39477052477601,0.15999999999999998
-2.3978919631093545,20.402785620176925,0.16999999999999998
-6.590273896031302,22.047698900689397,0.18
-11.062775330396477,24.462187958883995,0.18999999999999997
-15.688742930122244,26.960408684546618,0.19999999999999998
-20.117753623188406,30.288043478260875,0.20999999999999996
-25.581228730073434,34.10711087229089,0.21999999999999997
-30.375886524822697,37.9645390070922,0.22999999999999998
-35.28163992869875,42.31550802139037,0.23999999999999996
-40.37196765498653,47.06019766397125,0.24999999999999997
-45.10261854210899,50.89525831564049,0.25999999999999995
-51.01402947966614,56.1179186645356,0.26999999999999996
-55.5978835978836,60.48677248677249,0.27999999999999997
-60.88453389830508,65.33015536723164,0.29
-66.26865671641792,70.25941719971571,0.3
